country,year,age,sex,qx,,,,,
Australia,1995,23,female,0.00039,,,,,
Australia,1995,24,female,0.00041,,,,,
Australia,1995,25,female,0.0004,,,,,
Australia,1995,26,female,0.00047,,,,,
Australia,1995,27,female,0.00041,,,,,
Australia,1995,28,female,0.00032,,,,,
Australia,1995,29,female,0.00043,,,,,
Australia,1995,30,female,0.0006,,,,,
Australia,1995,31,female,0.00056,,,,,
Australia,1995,32,female,0.00063,,,,,
Australia,1995,33,female,0.00067,,,,,
Australia,1995,34,female,0.00048,,,,,
Australia,1995,35,female,0.00064,,,,,
Australia,1995,36,female,0.00069,,,,,
Australia,1995,37,female,0.00073,,,,,
Australia,1995,38,female,0.00076,,,,,
Australia,1995,39,female,0.00069,,,,,
Australia,1995,40,female,0.00104,,,,,
Australia,1995,41,female,0.00094,,,,,
Australia,1995,42,female,0.0011,,,,,
Australia,1995,43,female,0.00108,,,,,
Australia,1995,44,female,0.00119,,,,,
Australia,1995,45,female,0.00122,,,,,
Australia,1995,46,female,0.00139,,,,,
Australia,1995,47,female,0.00187,,,,,
Australia,1995,48,female,0.00199,,,,,
Australia,1995,49,female,0.00204,,,,,
Australia,1995,50,female,0.00231,,,,,
Australia,1995,51,female,0.00256,,,,,
Australia,1995,52,female,0.00272,,,,,
Australia,1995,53,female,0.00309,,,,,
Australia,1995,54,female,0.00369,,,,,
Australia,1995,55,female,0.00375,,,,,
Australia,1995,56,female,0.00396,,,,,
Australia,1995,57,female,0.00402,,,,,
Australia,1995,58,female,0.00477,,,,,
Australia,1995,59,female,0.00522,,,,,
Australia,1995,60,female,0.00592,,,,,
Australia,1995,61,female,0.00671,,,,,
Australia,1995,62,female,0.00688,,,,,
Australia,1995,63,female,0.00813,,,,,
Australia,1995,64,female,0.008,,,,,
Australia,1995,65,female,0.00966,,,,,
Australia,1995,66,female,0.01023,,,,,
Australia,1995,67,female,0.01149,,,,,
Australia,1995,68,female,0.01298,,,,,
Australia,1995,69,female,0.01482,,,,,
Australia,1995,70,female,0.01632,,,,,
Australia,1995,71,female,0.0172,,,,,
Australia,1995,72,female,0.01956,,,,,
Australia,1995,73,female,0.02205,,,,,
Australia,1995,74,female,0.0238,,,,,
Australia,1995,75,female,0.02819,,,,,
Australia,1995,76,female,0.02966,,,,,
Australia,1995,77,female,0.03466,,,,,
Australia,1995,78,female,0.03828,,,,,
Australia,1995,79,female,0.04448,,,,,
Australia,1995,80,female,0.04999,,,,,
Australia,1995,81,female,0.05435,,,,,
Australia,1995,82,female,0.05935,,,,,
Australia,1995,83,female,0.06895,,,,,
Australia,1995,84,female,0.07759,,,,,
Australia,1995,85,female,0.08485,,,,,
Australia,1995,86,female,0.09882,,,,,
Australia,1995,87,female,0.1117,,,,,
Australia,1995,88,female,0.11886,,,,,
Australia,1995,89,female,0.13491,,,,,
Australia,1995,90,female,0.14383,,,,,
Australia,1995,91,female,0.16418,,,,,
Australia,1995,92,female,0.18204,,,,,
Australia,1995,93,female,0.19849,,,,,
Australia,1995,94,female,0.22756,,,,,
Australia,1995,95,female,0.2379,,,,,
Australia,1995,96,female,0.25828,,,,,
Australia,1995,97,female,0.27927,,,,,
Australia,1995,98,female,0.3007,,,,,
Australia,1995,99,female,0.32242,,,,,
Australia,1995,100,female,0.34423,,,,,
Australia,1995,101,female,0.36594,,,,,
Australia,1995,102,female,0.38738,,,,,
Australia,1995,103,female,0.40837,,,,,
Australia,1995,104,female,0.42875,,,,,
Australia,1995,105,female,0.44838,,,,,
Australia,1995,106,female,0.46714,,,,,
Australia,1995,107,female,0.48495,,,,,
